
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Ekko', 'Thresh', 'Heimerdinger')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Zed', 'Diana', 'Akali')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Thresh', 'Miss Fortune', 'Morgana')
('Silver IV ', '23', '1', '11.2', '136', '210', '155', '235.3k', '0', '141', '3.0k', '429.5k', 'Master Yi', 'Tryndamere', 'Teemo')
('Unranked ', '2', '0', '58.2', '5', '15', '17', '19.2k', '0', '17', '272', '27.7k', 'Lux', 'Akali', 'Miss Fortune')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Tristana', 'Tahm Kench', 'Azir')
('Silver II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Talon', 'Kayn', 'Rengar')
('Silver II ', '7', '0', '3.5', '40', '50', '92', '71.9k', '0', '83', '588', '127.8k', 'Katarina', 'Lux', 'Twisted Fate')
('Silver I ', '13', '0', '6.5', '49', '74', '169', '127.4k', '0', '223', '746', '178.9k', 'Yasuo', 'Jinx', 'Ezreal')
('Silver IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Quinn', 'Warwick', 'Sona')
('Silver II ', '3', '0', '1.7', '6', '22', '51', '28.1k', '0', '60', '35', '26.9k', 'Nami', 'Janna', 'Leona')
('Unranked ', '3', '0', '1.4', '5', '7', '28', '25.6k', '0', '43', '207', '32.0k', 'Thresh', 'Janna', 'Braum')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Annie', 'Katarina', 'Zed')
('Unranked ', '4', '1', '1.8', '24', '15', '44', '39.4k', '0', '49', '219', '71.4k', 'Aurelion Sol', 'Zyra', 'Fizz')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Master Yi', 'Miss Fortune', 'Morgana')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Miss Fortune', 'Darius', 'Brand')
('Silver IV ', '40', '5', '21.5', '237', '240', '321', '416.9k', '0', '392', '5.0k', '749.8k', 'Morgana', 'Zoe', 'LeBlanc')
('Silver IV ', '15', '0', '7.8', '34', '69', '206', '133.0k', '0', '145', '370', '186.0k', 'Janna', 'Zyra', 'Nami')
('Silver III ', '12', '1', '6.4', '101', '90', '134', '141.0k', '0', '91', '1.4k', '286.6k', 'Yasuo', 'Evelynn', 'Tahm Kench')
('Silver III ', '160', '6', '3.3', '1.3k', '1.3k', '1.1k', '1.9m', '1', '998', '23.6k', '3.6m', 'Jax', 'Fiddlesticks', 'Olaf')
('Silver II ', '14', '0', '7.3', '87', '111', '112', '160.7k', '0', '143', '2.1k', '320.7k', 'Sion', 'Thresh', 'Blitzcrank')
('Unranked ', '1', '0', '25.5', '4', '4', '12', '9.9k', '0', '9', '127', '10.6k', 'Maokai', 'Kayn', 'Galio')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Shyvana', 'Morgana', 'Tryndamere')
('Silver III ', '3', '0', '1.7', '4', '17', '44', '28.3k', '0', '55', '94', '23.6k', 'Blitzcrank', 'Annie', 'Lulu')
('Silver II ', '2', '0', '1.2', '13', '14', '29', '25.2k', '0', '42', '275', '44.2k', 'Dr. Mundo', 'Urgot', 'Braum')
('Silver I ', '19', '0', '10.0', '80', '115', '126', '205.9k', '0', '178', '3.1k', '315.6k', 'Jinx', 'Orianna', "Kog'Maw")
('Unranked ', '9', '0', '4.8', '25', '28', '177', '91.9k', '0', '188', '182', '118.3k', 'Leona', 'Morgana', 'Alistar')
('Silver I ', '1', '0', '40.5', '3', '10', '11', '15.2k', '0', '11', '244', '18.7k', 'Ashe', 'Annie', 'Veigar')
('Bronze I ', '3', '1', '1.2', '11', '10', '29', '23.3k', '0', '28', '228', '26.7k', 'Kassadin', 'Soraka', 'Ashe')
('Silver IV ', '11', '0', '5.6', '69', '95', '71', '126.7k', '0', '99', '1.5k', '223.0k', 'Nasus', 'Jhin', 'Kayn')
('Silver II ', '91', '0', '1.9', '231', '698', '1.2k', '819.1k', '0', '1.8k', '3.5k', '988.0k', 'Leona', 'Lulu', 'Nami')
('Silver IV ', '8', '0', '4.0', '30', '53', '58', '89.6k', '0', '108', '1.3k', '105.9k', 'Yasuo', 'Soraka', 'Tryndamere')
('Silver II ', '43', '2', '21.9', '142', '262', '495', '410.3k', '0', '479', '4.3k', '574.9k', 'Garen', 'Yorick', 'Shen')
('Silver III ', '8', '0', '4.2', '60', '49', '48', '98.2k', '0', '109', '1.2k', '166.3k', 'Lulu', 'Garen', 'Teemo')
('Silver IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Garen', 'Malphite', 'Tristana')
('Silver IV ', '3', '0', '1.6', '23', '16', '23', '36.7k', '0', '31', '523', '83.9k', 'Gangplank', 'Akali', 'Ekko')
('Unranked ', '2', '0', '1.1', '9', '12', '19', '18.8k', '0', '46', '36', '16.4k', 'Bard', 'Ekko', 'Poppy')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Teemo', 'Master Yi', 'Morgana')
('Silver II ', '101', '2', '2.1', '500', '639', '975', '1.1m', '0', '1.6k', '10.7k', '1.9m', 'Malzahar', 'Thresh', 'Zyra')
('Silver IV ', '8', '0', '3.7', '38', '35', '44', '74.4k', '0', '66', '1.1k', '115.7k', 'Poppy', 'Katarina', 'Jinx')
